mass_A
t	x	y
0.000000000E0	9.897817460E-1	-1.159619296E1
4.311111111E-3	9.896957307E-1	-1.159266870E1
8.622222222E-3	9.901982211E-1	-1.158949079E1
1.293333333E-2	9.934191196E-1	-1.156552429E1
1.724444444E-2	9.947831278E-1	-1.155800584E1
2.155555556E-2	9.942627414E-1	-1.155016943E1
2.586666667E-2	9.956387011E-1	-1.154341066E1
3.028888889E-2	9.955582381E-1	-1.153479003E1
3.460000000E-2	9.983674784E-1	-1.151944953E1
3.891111111E-2	9.985196509E-1	-1.150841964E1
4.322222222E-2	9.984358376E-1	-1.150439007E1
4.753333333E-2	9.970194193E-1	-1.149761617E1
5.184444444E-2	1.001378304E0	-1.147619238E1
5.615555556E-2	9.977129754E-1	-1.146480477E1
6.046666667E-2	9.960975864E-1	-1.145874571E1
6.477777778E-2	9.952622409E-1	-1.144559997E1
6.908888889E-2	1.001884713E0	-1.142659966E1
7.340000000E-2	9.970117775E-1	-1.141945781E1
7.771111111E-2	9.934003582E-1	-1.141119358E1
8.202222222E-2	9.921533903E-1	-1.140032979E1
8.633333333E-2	9.933344970E-1	-1.137951711E1
9.064444444E-2	9.879345378E-1	-1.136817487E1
9.495555556E-2	9.869587199E-1	-1.135756162E1
9.926666667E-2	9.876734984E-1	-1.133933680E1
1.035777778E-1	9.852454286E-1	-1.132958180E1
1.078888889E-1	9.830208496E-1	-1.132336708E1
1.122000000E-1	9.733947159E-1	-1.131797321E1
1.166222222E-1	9.725742860E-1	-1.130432698E1
1.209333333E-1	9.649608954E-1	-1.129216329E1
1.252444444E-1	9.606242652E-1	-1.128186643E1
1.295555556E-1	9.570440534E-1	-1.127716970E1
1.338666667E-1	9.505645749E-1	-1.126956960E1
1.381777778E-1	9.513324587E-1	-1.125822257E1
1.424888889E-1	9.506298661E-1	-1.124140045E1
1.468000000E-1	9.489150263E-1	-1.123625324E1
1.511111111E-1	9.489132158E-1	-1.123006446E1
1.554222222E-1	9.477863274E-1	-1.122393773E1
1.597333333E-1	9.477320193E-1	-1.120029690E1
1.640444444E-1	9.464782559E-1	-1.119118694E1
