mass_A
t	x	y
4.742222222E-2	-1.037005946E-1	-1.203736118E1
5.173333333E-2	-9.892516804E-2	-1.203396198E1
5.604444444E-2	-9.512897360E-2	-1.202883114E1
6.476666667E-2	-9.761052408E-2	-1.196196498E1
6.907777778E-2	-9.035849634E-2	-1.194554610E1
7.338888889E-2	-1.077751159E-1	-1.189168998E1
7.770000000E-2	-5.153494207E-2	-1.177169878E1
8.201111111E-2	-2.045123540E-2	-1.158871227E1
8.632222222E-2	-4.067764983E-2	-1.134880720E1
9.063333333E-2	-4.727976118E-2	-1.112697712E1
9.494444444E-2	-2.530440802E-2	-1.089300457E1
1.036222222E-1	-2.149599066E-2	-1.032217363E1
1.079444444E-1	-4.720421577E-2	-1.001361950E1
1.122666667E-1	-5.403836756E-2	-9.712642201E0
1.165888889E-1	-7.025140202E-2	-9.380755936E0
1.209111111E-1	-7.611173123E-2	-9.062858183E0
1.252333333E-1	-9.534738073E-2	-8.745574029E0
1.295555556E-1	-1.276811788E-1	-8.410122728E0
1.338777778E-1	-1.308055878E-1	-8.094381344E0
1.424888889E-1	-1.699173521E-1	-7.441159616E0
1.468000000E-1	-1.820962487E-1	-7.119943979E0
1.511111111E-1	-2.526489288E-1	-6.813031051E0
1.554222222E-1	-2.632198522E-1	-6.438152691E0
1.597333333E-1	-2.509675523E-1	-6.104567407E0
1.640444444E-1	-2.685787448E-1	-5.760661201E0
1.683555556E-1	-2.762364975E-1	-5.416605196E0
1.726666667E-1	-2.612814822E-1	-5.087918179E0
1.813444444E-1	-2.629694503E-1	-4.420461438E0
1.856666667E-1	-2.423671798E-1	-4.101237941E0
1.899888889E-1	-2.450836584E-1	-3.787030356E0
1.943111111E-1	-2.326968580E-1	-3.458789507E0
1.986333333E-1	-2.326962916E-1	-3.151345450E0
2.029555556E-1	-2.363195694E-1	-2.837403013E0
2.072777778E-1	-2.381876578E-1	-2.531281917E0
2.116000000E-1	-2.440274472E-1	-2.224660127E0
2.245222222E-1	-2.337776030E-1	-1.370800636E0
2.288444444E-1	-2.353366883E-1	-1.098708935E0
2.331666667E-1	-2.455545384E-1	-8.614195018E-1
2.374888889E-1	-2.049795228E-1	-7.236333199E-1
2.418111111E-1	-2.065443583E-1	-5.267055904E-1
2.461333333E-1	-1.697665405E-1	-1.964602743E-1
2.504555556E-1	-1.467049238E-1	1.534206924E-1
2.547777778E-1	-1.357440722E-1	4.218493759E-1
2.591000000E-1	-1.313235868E-1	5.966886135E-1
2.634222222E-1	-1.259786910E-1	8.022694575E-1
2.677444444E-1	-1.267930671E-1	1.007651955E0
2.720666667E-1	-1.313131492E-1	1.237412727E0
2.763888889E-1	-1.256030684E-1	1.418230525E0
2.807111111E-1	-1.152667758E-1	1.648149201E0
2.850333333E-1	-1.160071976E-1	1.849353631E0
2.893555556E-1	-1.047586133E-1	2.034188289E0
3.022444444E-1	-6.372774225E-2	2.584770389E0
3.065555556E-1	-4.269897631E-2	2.772057540E0
3.108666667E-1	-4.448857250E-2	2.938724880E0
3.151777778E-1	-4.071733714E-2	3.098854910E0
3.194888889E-1	-1.362306837E-2	3.253645461E0
3.238000000E-1	1.187184003E-2	3.376834370E0
3.281111111E-1	4.234093147E-2	3.467026018E0
3.324222222E-1	7.737918600E-2	3.533672349E0
3.410888889E-1	1.272526214E-1	3.725584539E0
3.454111111E-1	1.194287287E-1	4.078152157E0
3.497333333E-1	1.547192542E-1	4.254604784E0
3.540555556E-1	9.188242518E-2	4.616435386E0
3.583777778E-1	6.859461928E-2	4.665618280E0
3.627000000E-1	6.630097512E-2	4.793554143E0
3.670222222E-1	3.246589397E-2	4.845174350E0
3.713444444E-1	1.739976255E-2	4.897738186E0
3.799555556E-1	-2.788273546E-2	5.065379062E0
3.842666667E-1	-5.307973362E-2	5.137392856E0
3.885777778E-1	-6.071630944E-2	5.206356821E0
3.928888889E-1	-9.393354827E-2	5.288396608E0
3.972000000E-1	-1.217962800E-1	5.373483393E0
4.015111111E-1	-1.377030171E-1	5.435802837E0
4.058222222E-1	-1.746054832E-1	5.499285147E0
4.101333333E-1	-1.928662803E-1	5.551859044E0
4.188111111E-1	-2.303025616E-1	5.652563322E0
4.231333333E-1	-2.458720355E-1	5.698151473E0
4.274555556E-1	-2.694203862E-1	5.732616787E0
4.317777778E-1	-2.778732656E-1	5.764234857E0
4.361000000E-1	-2.871436091E-1	5.791636603E0
4.404222222E-1	-2.923531422E-1	5.800629003E0
4.447444444E-1	-2.991222729E-1	5.804464191E0
4.490666667E-1	-3.059853898E-1	5.805689352E0
4.533888889E-1	-3.078430944E-1	5.805855182E0
4.577111111E-1	-3.022716911E-1	5.800291004E0
4.620333333E-1	-2.960166338E-1	5.773927968E0
4.663555556E-1	-2.887415881E-1	5.746368428E0
4.706777778E-1	-2.740536009E-1	5.724516741E0
4.750000000E-1	-2.625990398E-1	5.676740987E0
4.793222222E-1	-2.471034988E-1	5.636812754E0
4.836444444E-1	-2.248839068E-1	5.574361151E0
5.008444444E-1	-1.281912924E-1	5.324544053E0
5.051666667E-1	-6.915021161E-2	5.246670912E0
5.094888889E-1	-5.264996768E-2	5.181588136E0
5.138111111E-1	2.081347587E-2	5.095639423E0
5.181333333E-1	9.089763567E-2	5.025168945E0
5.224555556E-1	1.580854391E-1	4.969006327E0
5.267777778E-1	1.606090791E-1	4.893178272E0
5.311000000E-1	2.890063447E-1	4.873414265E0
5.354222222E-1	4.884767781E-2	4.748672140E0
5.397444444E-1	1.218237110E-2	4.843262739E0
5.440666667E-1	7.217149487E-2	4.795328601E0
5.483888889E-1	1.284711964E-2	4.654203889E0
5.527111111E-1	1.355715235E-2	4.360476360E0
5.570333333E-1	1.355715235E-2	4.184023733E0
5.613555556E-1	-2.173337310E-2	4.078152157E0
5.656777778E-1	8.413820326E-2	3.866409004E0
5.700000000E-1	4.884767781E-2	3.795827953E0
5.743222222E-1	-9.231442401E-2	3.584084800E0
5.786444444E-1	-1.636843459E-1	3.458652997E0
5.829666667E-1	-2.017241309E-1	3.412029885E0
5.872888889E-1	-2.332862916E-1	3.360839442E0
5.916111111E-1	-2.318204841E-1	3.290918464E0
5.959333333E-1	-2.384658338E-1	3.189835261E0
6.001555556E-1	-2.489468879E-1	3.074691590E0
6.087888889E-1	-2.606195641E-1	2.860419278E0
6.131111111E-1	-2.592389740E-1	2.732914343E0
6.174333333E-1	-2.669370036E-1	2.607663688E0
6.217555556E-1	-2.700353115E-1	2.485385470E0
6.260777778E-1	-2.635976917E-1	2.348490620E0
6.304000000E-1	-2.755563877E-1	2.199162960E0
6.347222222E-1	-2.763306235E-1	2.051214586E0
6.390444444E-1	-2.736432759E-1	1.898517153E0
6.476555556E-1	-2.781870039E-1	1.571736852E0
6.519666667E-1	-2.634672375E-1	1.384049374E0
6.562777778E-1	-2.719221979E-1	1.238077785E0
6.605888889E-1	-2.766044644E-1	1.030203332E0
6.649000000E-1	-2.655546301E-1	8.637553063E-1
6.692111111E-1	-2.443187308E-1	6.919338208E-1
6.735222222E-1	-2.385362877E-1	4.930964256E-1
6.778333333E-1	-2.397748151E-1	3.948486020E-1
6.865111111E-1	-2.079214020E-1	-1.075514824E-2
6.908333333E-1	-1.462138025E-1	-1.882150550E-1
6.951555556E-1	-5.702389856E-2	-4.390351013E-1
6.994777778E-1	-2.739511112E-1	-7.333836678E-1
7.038000000E-1	-2.895275096E-1	-8.487617149E-1
7.081222222E-1	-3.027697141E-1	-9.230029395E-1
7.124444444E-1	-3.016889736E-1	-1.090116134E0
