mass_A
t	x	y
0.000000000E0	8.705829126E-1	-1.207498027E1
4.322222222E-3	8.960123582E-1	-1.210040971E1
8.644444444E-3	9.174782936E-1	-1.209232125E1
1.296666667E-2	9.309117126E-1	-1.209321877E1
1.728888889E-2	9.781899793E-1	-1.209455601E1
2.161111111E-2	9.954018895E-1	-1.209451129E1
2.593333333E-2	1.031407162E0	-1.209402832E1
3.025555556E-2	1.080689024E0	-1.209031834E1
3.457777778E-2	1.118260504E0	-1.206600789E1
3.890000000E-2	1.168980165E0	-1.198935599E1
4.322222222E-2	1.213762723E0	-1.182313094E1
4.744444444E-2	1.250433022E0	-1.162332265E1
5.166666667E-2	1.305162357E0	-1.132056068E1
5.607777778E-2	1.337560346E0	-1.106200452E1
6.048888889E-2	1.380645304E0	-1.074852300E1
6.472222222E-2	1.439399124E0	-1.044185845E1
6.895555556E-2	1.424753274E0	-1.006557645E1
7.335555556E-2	1.436851141E0	-9.724630471E0
7.775555556E-2	1.409379330E0	-9.320964923E0
8.198888889E-2	1.353633734E0	-8.940876907E0
8.622222222E-2	1.329649821E0	-8.544596699E0
9.062222222E-2	1.277584464E0	-8.140078849E0
9.502222222E-2	1.204051363E0	-7.769012584E0
9.925555556E-2	1.113191346E0	-7.406752114E0
1.034888889E-1	1.116951304E0	-7.046358085E0
1.079000000E-1	1.016383656E0	-6.709482463E0
1.122111111E-1	9.828608975E-1	-6.393401852E0
1.165222222E-1	9.093284853E-1	-6.118535888E0
1.208333333E-1	8.589187207E-1	-5.814538960E0
1.251444444E-1	8.572924078E-1	-5.569545821E0
1.294555556E-1	8.104407915E-1	-5.198545851E0
1.337666667E-1	7.104385785E-1	-4.987668216E0
1.380777778E-1	7.501730603E-1	-4.621168155E0
1.423888889E-1	9.232688147E-1	-4.339746493E0
1.467000000E-1	8.811433162E-1	-4.018254858E0
1.510111111E-1	7.919294391E-1	-3.739355758E0
1.553222222E-1	6.801561367E-1	-3.457516586E0
1.596333333E-1	6.732624375E-1	-3.168665264E0
1.639444444E-1	6.075728863E-1	-2.894233134E0
1.682555556E-1	6.198138514E-1	-2.601078227E0
1.725666667E-1	6.000574399E-1	-2.321111709E0
1.768777778E-1	5.980672409E-1	-2.036367194E0
1.811888889E-1	6.010541930E-1	-1.760035707E0
1.855000000E-1	7.021303673E-1	-1.504191401E0
1.899222222E-1	6.754391791E-1	-1.234565162E0
1.942444444E-1	6.647635837E-1	-9.630335282E-1
1.985666667E-1	7.892349818E-1	-7.700519265E-1
2.028888889E-1	5.522942895E-1	-3.654074749E-1
2.072111111E-1	5.926673895E-1	-1.837285251E-1
2.115333333E-1	4.464333041E-1	2.884760986E-1
2.158555556E-1	6.253856336E-1	3.987302395E-1
2.201777778E-1	6.751648513E-1	6.102472062E-1
2.245000000E-1	7.040043688E-1	9.168087239E-1
2.288222222E-1	6.153511913E-1	1.128895628E0
2.331444444E-1	6.810003085E-1	1.372297269E0
2.374666667E-1	7.001698382E-1	1.618920671E0
2.417888889E-1	7.132200402E-1	1.837116980E0
2.461111111E-1	7.487023411E-1	2.068520627E0
2.504333333E-1	7.742087136E-1	2.292463862E0
2.547555556E-1	7.843305371E-1	2.487815397E0
2.590777778E-1	8.004451710E-1	2.685098556E0
2.634000000E-1	8.114105925E-1	2.880173148E0
2.677222222E-1	7.908585573E-1	3.051737049E0
