mass_A
t	x	y
2.115777778E-1	9.575638560E-1	-1.101614434E1
2.158888889E-1	9.515073530E-1	-1.097329225E1
2.202000000E-1	9.467153543E-1	-1.091287449E1
2.245111111E-1	9.381417954E-1	-1.084470973E1
2.288222222E-1	9.302762727E-1	-1.078209712E1
2.331333333E-1	9.308261206E-1	-1.070419454E1
2.374444444E-1	9.273562705E-1	-1.061681224E1
2.417555556E-1	9.224580797E-1	-1.052467135E1
2.460666667E-1	9.286787565E-1	-1.043700952E1
2.503777778E-1	9.386773522E-1	-1.033945709E1
2.546888889E-1	9.475122290E-1	-1.023854489E1
2.590000000E-1	9.686789521E-1	-1.013857364E1
2.633111111E-1	9.778851798E-1	-1.002838042E1
2.676222222E-1	1.001932151E0	-9.903650801E0
2.719333333E-1	1.004269967E0	-9.789322625E0
2.762444444E-1	1.016648748E0	-9.644111447E0
2.806666667E-1	1.014241526E0	-9.473317568E0
2.849777778E-1	1.013037710E0	-9.266954742E0
2.892888889E-1	1.007028205E0	-9.030856172E0
2.936000000E-1	9.980568808E-1	-8.751238707E0
2.979111111E-1	9.752827945E-1	-8.466653583E0
3.022222222E-1	9.297339408E-1	-8.180999735E0
3.065333333E-1	9.225820074E-1	-7.849499149E0
3.108444444E-1	8.800616402E-1	-7.532079566E0
3.151555556E-1	8.330841571E-1	-7.206689377E0
3.194666667E-1	8.138319024E-1	-6.885945039E0
3.237777778E-1	7.913082124E-1	-6.587002973E0
3.280888889E-1	7.539582986E-1	-6.299463360E0
3.324000000E-1	7.470483655E-1	-6.004562631E0
3.367111111E-1	7.314734198E-1	-5.708409225E0
3.410222222E-1	6.997337831E-1	-5.440761605E0
3.453333333E-1	6.756491637E-1	-5.162894937E0
3.496444444E-1	6.513999632E-1	-4.904419849E0
3.539555556E-1	6.418160315E-1	-4.627372133E0
3.582666667E-1	6.156551868E-1	-4.360406219E0
3.625777778E-1	6.037810601E-1	-4.089208528E0
3.670000000E-1	5.678723900E-1	-3.807038330E0
3.713111111E-1	5.547329293E-1	-3.535556992E0
3.756222222E-1	5.256370967E-1	-3.290520982E0
3.799333333E-1	5.163945347E-1	-2.998366106E0
3.842444444E-1	4.934238787E-1	-2.744587705E0
3.885555556E-1	4.673571389E-1	-2.479776673E0
3.928666667E-1	4.440372556E-1	-2.216201250E0
3.971777778E-1	4.123683173E-1	-1.964368913E0
4.014888889E-1	3.978940432E-1	-1.698040785E0
4.058000000E-1	3.911746150E-1	-1.448449287E0
4.101111111E-1	3.714767560E-1	-1.196273764E0
4.144222222E-1	3.764623314E-1	-9.493585691E-1
4.187333333E-1	3.703859473E-1	-7.203724078E-1
4.230444444E-1	6.798134261E-1	-6.733389640E-1
4.273555556E-1	4.628917770E-1	-5.605859529E-1
4.316666667E-1	5.604543461E-1	-4.408459556E-1
4.359777778E-1	4.122206569E-1	2.578134903E-1
4.402888889E-1	4.325725651E-1	4.364207462E-1
4.446000000E-1	4.266785900E-1	5.785921504E-1
4.489111111E-1	4.619712687E-1	8.323915501E-1
4.532222222E-1	4.679934744E-1	1.056736096E0
4.575333333E-1	4.612110776E-1	1.269928086E0
4.619555556E-1	4.957450413E-1	1.501936766E0
4.662666667E-1	5.247330151E-1	1.697536510E0
4.705777778E-1	5.586848201E-1	1.934285996E0
4.748888889E-1	5.739652514E-1	2.138171666E0
4.792000000E-1	6.018665675E-1	2.366834679E0
4.835111111E-1	6.496219940E-1	2.584746983E0
4.878222222E-1	7.058632428E-1	2.800449965E0
4.921333333E-1	6.553358054E-1	3.016527028E0
4.964444444E-1	6.515737639E-1	3.230727690E0
5.007555556E-1	6.629127428E-1	3.443342205E0
5.050666667E-1	8.017675628E-1	3.536916475E0
5.093777778E-1	8.391002999E-1	3.651707855E0
5.136888889E-1	8.159758128E-1	3.739710211E0
5.180000000E-1	7.066100031E-1	3.954467970E0
5.223111111E-1	6.941564421E-1	4.655251752E0
5.266222222E-1	6.552362857E-1	4.718347842E0
5.309333333E-1	6.425272995E-1	4.846230364E0
5.352444444E-1	6.087543730E-1	4.917285193E0
5.395555556E-1	6.014219052E-1	5.023567271E0
5.438666667E-1	5.975868188E-1	5.113449484E0
5.482888889E-1	5.718626870E-1	5.177324331E0
5.526000000E-1	5.704291373E-1	5.244179218E0
5.569111111E-1	5.604330993E-1	5.308586848E0
5.612222222E-1	5.462061242E-1	5.358095652E0
5.655333333E-1	5.421806017E-1	5.400623933E0
5.698444444E-1	5.253124875E-1	5.429495506E0
5.741555556E-1	5.116708322E-1	5.468404119E0
5.784666667E-1	4.718835742E-1	5.478638863E0
5.827777778E-1	4.576211133E-1	5.515206862E0
5.870888889E-1	4.116123686E-1	5.530883637E0
5.914000000E-1	3.902599355E-1	5.553935400E0
5.957111111E-1	3.642296047E-1	5.582166246E0
6.000222222E-1	3.594516855E-1	5.610067876E0
6.043333333E-1	3.584569041E-1	5.628551094E0
6.086444444E-1	3.600738371E-1	5.640445809E0
6.129555556E-1	3.666479638E-1	5.637480460E0
6.172666667E-1	3.732179650E-1	5.628276041E0
6.215777778E-1	4.956747117E-1	5.402282928E0
6.258888889E-1	5.015254196E-1	5.381858270E0
6.302000000E-1	4.937692814E-1	5.356845691E0
6.346222222E-1	3.730758637E-1	5.523914046E0
6.389333333E-1	3.692531982E-1	5.493081106E0
6.432444444E-1	3.867477827E-1	5.463510665E0
6.475555556E-1	4.008771291E-1	5.443121047E0
6.518666667E-1	4.299658575E-1	5.398106289E0
6.561777778E-1	4.716382172E-1	5.379515458E0
6.604888889E-1	5.069031736E-1	5.352415674E0
6.648000000E-1	5.501252603E-1	5.332063314E0
6.691111111E-1	5.663192223E-1	5.302032253E0
6.734222222E-1	5.706417777E-1	5.272317442E0
6.777333333E-1	6.205796524E-1	5.254878139E0
6.820444444E-1	7.616158914E-1	5.045525566E0
6.863555556E-1	6.400637142E-1	5.232408264E0
6.906666667E-1	6.442153765E-1	5.210019378E0
6.949777778E-1	7.861335946E-1	4.999962821E0
6.992888889E-1	7.874096521E-1	4.986668134E0
7.036000000E-1	8.065941529E-1	4.950083559E0
7.079111111E-1	8.022271562E-1	4.931563506E0
7.122222222E-1	8.085221584E-1	4.917234742E0
7.165333333E-1	6.581712059E-1	5.042899587E0
7.209555556E-1	6.447704313E-1	4.962023182E0
7.252666667E-1	6.568512951E-1	4.912800857E0
7.295777778E-1	7.714954941E-1	4.885379951E0
7.338888889E-1	8.039204815E-1	4.852685812E0
7.382000000E-1	8.152883280E-1	4.816768129E0
7.425111111E-1	8.251250950E-1	4.692451142E0
7.468222222E-1	8.346477533E-1	4.668918587E0
7.511333333E-1	8.077198979E-1	3.949836818E0
7.554444444E-1	8.061803139E-1	3.820532386E0
7.597555556E-1	8.097467061E-1	3.691387034E0
7.640666667E-1	8.111106808E-1	3.608399279E0
7.683777778E-1	7.822933926E-1	3.529439382E0
7.726888889E-1	7.931677154E-1	3.363569395E0
7.770000000E-1	7.870633352E-1	3.216761173E0
7.813111111E-1	7.858357810E-1	3.067084524E0
7.856222222E-1	7.761620876E-1	2.901418173E0
7.899333333E-1	7.693872268E-1	2.737708223E0
7.942444444E-1	7.655307220E-1	2.564294783E0
7.985555556E-1	7.558733491E-1	2.389207693E0
8.028666667E-1	7.411226227E-1	2.213348482E0
8.072888889E-1	7.379885974E-1	2.027751482E0
8.116000000E-1	7.278431582E-1	1.843003608E0
8.159111111E-1	7.208836977E-1	1.660761227E0
8.202222222E-1	5.653666173E-1	1.660011342E0
8.245333333E-1	5.640418356E-1	1.478338847E0
8.288444444E-1	5.699511951E-1	1.290152593E0
8.331555556E-1	5.721042171E-1	1.103119508E0
8.374666667E-1	5.620038425E-1	9.136029061E-1
8.417777778E-1	5.640951519E-1	7.188296700E-1
8.460888889E-1	5.590370534E-1	5.140309631E-1
8.504000000E-1	6.066328901E-1	3.833607420E-1
8.547111111E-1	6.139753300E-1	2.361979228E-1
8.590222222E-1	8.166840376E-1	-3.098256380E-1
8.633333333E-1	8.109373928E-1	-5.341905311E-1
8.676444444E-1	8.117883774E-1	-6.433265632E-1
8.719555556E-1	7.187728411E-1	-7.321141767E-1
8.762666667E-1	1.076358132E0	-8.356031109E-1
8.805777778E-1	5.967089541E-1	-8.135852703E-1
8.848888889E-1	5.905049433E-1	-9.311367739E-1
8.892000000E-1	6.106735629E-1	-1.057970327E0
8.936222222E-1	5.985073991E-1	-1.178514250E0
8.979333333E-1	5.990333330E-1	-1.307043218E0
9.022444444E-1	6.107962541E-1	-1.428733281E0
9.065555556E-1	6.279152640E-1	-1.531771391E0
9.108666667E-1	6.419592468E-1	-1.650959774E0
9.151777778E-1	6.516089053E-1	-1.754753779E0
9.194888889E-1	6.515663947E-1	-1.858479376E0
9.238000000E-1	6.492683960E-1	-1.956917649E0
9.281111111E-1	6.408720123E-1	-2.061721002E0
9.324222222E-1	6.475340273E-1	-2.174737796E0
9.367333333E-1	6.441331108E-1	-2.288014093E0
9.410444444E-1	6.516489279E-1	-2.407421994E0
9.453555556E-1	6.596734281E-1	-2.520781610E0
9.496666667E-1	9.402299527E-1	-2.925299310E0
9.539777778E-1	9.396641511E-1	-3.052140065E0
9.582888889E-1	9.714660654E-1	-3.155349503E0
9.626000000E-1	9.429190763E-1	-3.278774876E0
9.669111111E-1	9.935429018E-1	-3.376404433E0
9.713333333E-1	9.406555876E-1	-3.497282071E0
9.756444444E-1	9.923102613E-1	-3.593163568E0
9.799555556E-1	6.364929349E-1	-3.379681601E0
9.842666667E-1	6.209662959E-1	-3.474116744E0
9.885777778E-1	1.007403773E0	-3.857614747E0
9.928888889E-1	1.125719072E0	-3.813702098E0
9.972000000E-1	1.090738815E0	-3.947515673E0
1.001511111E0	1.129212146E0	-3.952186014E0
1.005822222E0	1.124162364E0	-3.986744383E0
1.010133333E0	1.107716787E0	-4.063747374E0
1.014444444E0	6.472261825E-1	-3.775756949E0
1.018755556E0	6.470481232E-1	-3.780725492E0
1.023066667E0	6.459250095E-1	-3.771260125E0
1.027377778E0	6.468529779E-1	-3.765980505E0
1.031688889E0	6.483948220E-1	-3.753003942E0
1.036000000E0	6.503247095E-1	-3.720727169E0
1.040311111E0	6.568373925E-1	-3.707060929E0
1.044622222E0	6.503138003E-1	-3.722942997E0
1.048933333E0	6.699165386E-1	-3.694230240E0
1.053244444E0	6.691663016E-1	-3.645153131E0
1.057666667E0	1.044387213E0	-3.908826159E0
1.061977778E0	1.111196419E0	-3.842698379E0
1.066288889E0	6.547284628E-1	-3.475636130E0
1.070600000E0	1.092818151E0	-3.687280602E0
1.074911111E0	1.079611954E0	-3.598658014E0
